,Faster R-CNN [40],gLSTM [34],LSTM,DBN,BI-GRU,CNN+CMBO,CNN+SSA,CNN+WHO,CNN+SSO,CNN + SMO-SCME
BLEU_1,0.793811572,0.773897144,0.792940909,0.786673837,0.799905838,0.781914427,0.78113945,0.782940909,0.783024744,0.803141197
BLEU_2,0.623285609,0.608881504,0.624868671,0.623778492,0.635808038,0.625042711,0.619658783,0.624868671,0.623016015,0.635317314
BLEU_3,0.470190039,0.472220018,0.488670708,0.486133981,0.494473932,0.484003938,0.477756687,0.488670708,0.488143881,0.496851439
BLEU_4,0.277974317,0.319800834,0.338791828,0.31847408,0.297669815,0.243844351,0.284153899,0.338791828,0.383877503,0.363566387
CIDER,1.144908956,1.199591477,1.243045257,1.18646217,1.24312389,1.212869879,1.222159775,1.243045257,1.256200348,1.606546633
ROUGE,0.662063435,0.661241638,0.678438093,0.664070678,0.671172199,0.673776343,0.663083534,0.678438093,0.67642774,0.701335295
METEOR,0.370660767,0.373176009,0.376123596,0.373435718,0.39220007,0.389202036,0.380230011,0.376123596,0.368773441,0.3953127
