,Faster R-CNN [40],gLSTM [34],LSTM,DBN,BI-GRU,CNN+CMBO,CNN+SSA,CNN+WHO,CNN+SSO,LSTM[41],CNN,CNN + SMO-SCME
BLEU_1,0.806373397,0.801972598,0.78981058,0.787214366,0.793650513,0.796848834,0.788163794,0.79981058,0.791236149,0.686373397,0.787214366,0.801891599
BLEU_2,0.635613523,0.637742656,0.629136143,0.615093325,0.619323678,0.651068395,0.621376954,0.629136143,0.611928245,0.515613523,0.515613523,0.632779413
BLEU_3,0.491276742,0.496949762,0.485537426,0.467778735,0.478054735,0.456137663,0.480219946,0.485537426,0.463364775,0.371276742,0.4710124,0.494165257
BLEU_4,0.269466181,0.303593214,0.271320616,0.239418718,0.27901027,0.328832959,0.260403151,0.261320616,0.216006566,0.149466181,0.1023456,0.359995353
CIDER,1.206862347,1.200279163,1.232952994,1.214217148,1.196597392,1.365253699,1.24191098,1.232952994,1.147738519,1.086862347,1.03658,1.569920873
ROUGE,0.654795266,0.652460198,0.664713246,0.662241014,0.661303339,0.6907821,0.664977149,0.664713246,0.647421978,0.534795266,0.41578,0.694897087
METEOR,0.352504625,0.350588316,0.368951565,0.367331232,0.373386093,0.350458637,0.365786096,0.368951565,0.346891694,0.232504625,0.332578,0.391400031
